Year 0,"{'CODE 1': 36, 'CODE 2': 61, 'CODE 3': 19}"
Year 1,"{'CODE 1': 154, 'CODE 2': 68, 'CODE 3': 7}"
Year 2,"{'CODE 1': 8, 'CODE 2': 30, 'CODE 3': 16}"
Year 3,"{'CODE 1': 102, 'CODE 2': 83, 'CODE 3': 27}"
Year 4,"{'CODE 1': 183, 'CODE 2': 50, 'CODE 3': 50}"
Year 5,"{'CODE 1': 4, 'CODE 2': 71, 'CODE 3': 8}"
Year 6,"{'CODE 1': 42, 'CODE 2': 3, 'CODE 3': 37}"
Year 7,"{'CODE 1': 160, 'CODE 2': 77, 'CODE 3': 8}"
Year 8,"{'CODE 1': 99, 'CODE 2': 12, 'CODE 3': 41}"
Year 9,"{'CODE 1': 73, 'CODE 2': 32, 'CODE 3': 38}"
Year 10,"{'CODE 1': 158, 'CODE 2': 82, 'CODE 3': 17}"
Year 11,"{'CODE 1': 59, 'CODE 2': 15, 'CODE 3': 39}"
Year 12,"{'CODE 1': 186, 'CODE 2': 31, 'CODE 3': 44}"
Year 13,"{'CODE 1': 30, 'CODE 2': 67, 'CODE 3': 34}"
Year 14,"{'CODE 1': 38, 'CODE 2': 84, 'CODE 3': 24}"
Year 15,"{'CODE 1': 166, 'CODE 2': 96, 'CODE 3': 30}"
Year 16,"{'CODE 1': 165, 'CODE 2': 29, 'CODE 3': 25}"
Year 17,"{'CODE 1': 118, 'CODE 2': 60, 'CODE 3': 9}"
Year 18,"{'CODE 1': 63, 'CODE 2': 77, 'CODE 3': 2}"
Year 19,"{'CODE 1': 149, 'CODE 2': 67, 'CODE 3': 13}"
Year 20,"{'CODE 1': 84, 'CODE 2': 86, 'CODE 3': 44}"
Year 21,"{'CODE 1': 63, 'CODE 2': 58, 'CODE 3': 44}"
Year 22,"{'CODE 1': 180, 'CODE 2': 8, 'CODE 3': 50}"
Year 23,"{'CODE 1': 69, 'CODE 2': 8, 'CODE 3': 23}"
Year 24,"{'CODE 1': 86, 'CODE 2': 26, 'CODE 3': 39}"
Year 25,"{'CODE 1': 82, 'CODE 2': 44, 'CODE 3': 38}"
Year 26,"{'CODE 1': 193, 'CODE 2': 26, 'CODE 3': 36}"
Year 27,"{'CODE 1': 33, 'CODE 2': 87, 'CODE 3': 40}"
Year 28,"{'CODE 1': 98, 'CODE 2': 10, 'CODE 3': 40}"
Year 29,"{'CODE 1': 87, 'CODE 2': 92, 'CODE 3': 42}"
Year 30,"{'CODE 1': 37, 'CODE 2': 85, 'CODE 3': 14}"
Year 31,"{'CODE 1': 46, 'CODE 2': 28, 'CODE 3': 31}"
Year 32,"{'CODE 1': 59, 'CODE 2': 86, 'CODE 3': 45}"
Year 33,"{'CODE 1': 43, 'CODE 2': 74, 'CODE 3': 37}"
Year 34,"{'CODE 1': 149, 'CODE 2': 6, 'CODE 3': 13}"
Year 35,"{'CODE 1': 31, 'CODE 2': 92, 'CODE 3': 16}"
Year 36,"{'CODE 1': 141, 'CODE 2': 88, 'CODE 3': 33}"
Year 37,"{'CODE 1': 153, 'CODE 2': 101, 'CODE 3': 18}"
Year 38,"{'CODE 1': 189, 'CODE 2': 24, 'CODE 3': 19}"
Year 39,"{'CODE 1': 37, 'CODE 2': 65, 'CODE 3': 47}"
Year 40,"{'CODE 1': 96, 'CODE 2': 89, 'CODE 3': 27}"
Year 41,"{'CODE 1': 169, 'CODE 2': 4, 'CODE 3': 3}"
Year 42,"{'CODE 1': 131, 'CODE 2': 22, 'CODE 3': 45}"
Year 43,"{'CODE 1': 12, 'CODE 2': 56, 'CODE 3': 13}"
Year 44,"{'CODE 1': 38, 'CODE 2': 24, 'CODE 3': 13}"
Year 45,"{'CODE 1': 54, 'CODE 2': 8, 'CODE 3': 27}"
Year 46,"{'CODE 1': 169, 'CODE 2': 32, 'CODE 3': 6}"
Year 47,"{'CODE 1': 149, 'CODE 2': 75, 'CODE 3': 36}"
Year 48,"{'CODE 1': 157, 'CODE 2': 13, 'CODE 3': 38}"
Year 49,"{'CODE 1': 43, 'CODE 2': 5, 'CODE 3': 14}"
Year 50,"{'CODE 1': 132, 'CODE 2': 64, 'CODE 3': 9}"
Year 51,"{'CODE 1': 84, 'CODE 2': 99, 'CODE 3': 47}"
Year 52,"{'CODE 1': 96, 'CODE 2': 35, 'CODE 3': 49}"
Year 53,"{'CODE 1': 176, 'CODE 2': 21, 'CODE 3': 9}"
Year 54,"{'CODE 1': 105, 'CODE 2': 96, 'CODE 3': 19}"
Year 55,"{'CODE 1': 113, 'CODE 2': 44, 'CODE 3': 4}"
Year 56,"{'CODE 1': 165, 'CODE 2': 58, 'CODE 3': 32}"
Year 57,"{'CODE 1': 37, 'CODE 2': 41, 'CODE 3': 30}"
Year 58,"{'CODE 1': 4, 'CODE 2': 40, 'CODE 3': 19}"
Year 59,"{'CODE 1': 138, 'CODE 2': 53, 'CODE 3': 8}"
Year 60,"{'CODE 1': 169, 'CODE 2': 78, 'CODE 3': 32}"
Year 61,"{'CODE 1': 69, 'CODE 2': 65, 'CODE 3': 24}"
Year 62,"{'CODE 1': 184, 'CODE 2': 10, 'CODE 3': 42}"
Year 63,"{'CODE 1': 31, 'CODE 2': 60, 'CODE 3': 37}"
Year 64,"{'CODE 1': 128, 'CODE 2': 12, 'CODE 3': 27}"
Year 65,"{'CODE 1': 179, 'CODE 2': 11, 'CODE 3': 37}"
Year 66,"{'CODE 1': 107, 'CODE 2': 45, 'CODE 3': 43}"
Year 67,"{'CODE 1': 134, 'CODE 2': 11, 'CODE 3': 19}"
Year 68,"{'CODE 1': 38, 'CODE 2': 4, 'CODE 3': 34}"
Year 69,"{'CODE 1': 79, 'CODE 2': 81, 'CODE 3': 9}"
Year 70,"{'CODE 1': 12, 'CODE 2': 86, 'CODE 3': 16}"
Year 71,"{'CODE 1': 103, 'CODE 2': 56, 'CODE 3': 22}"
Year 72,"{'CODE 1': 150, 'CODE 2': 96, 'CODE 3': 13}"
Year 73,"{'CODE 1': 33, 'CODE 2': 71, 'CODE 3': 15}"
Year 74,"{'CODE 1': 29, 'CODE 2': 7, 'CODE 3': 11}"
Year 75,"{'CODE 1': 126, 'CODE 2': 70, 'CODE 3': 13}"
Year 76,"{'CODE 1': 120, 'CODE 2': 73, 'CODE 3': 27}"
Year 77,"{'CODE 1': 70, 'CODE 2': 15, 'CODE 3': 13}"
Year 78,"{'CODE 1': 197, 'CODE 2': 83, 'CODE 3': 26}"
Year 79,"{'CODE 1': 60, 'CODE 2': 40, 'CODE 3': 33}"
Year 80,"{'CODE 1': 200, 'CODE 2': 31, 'CODE 3': 50}"
Year 81,"{'CODE 1': 18, 'CODE 2': 70, 'CODE 3': 33}"
Year 82,"{'CODE 1': 137, 'CODE 2': 23, 'CODE 3': 10}"
Year 83,"{'CODE 1': 39, 'CODE 2': 92, 'CODE 3': 45}"
Year 84,"{'CODE 1': 58, 'CODE 2': 20, 'CODE 3': 9}"
Year 85,"{'CODE 1': 173, 'CODE 2': 62, 'CODE 3': 19}"
Year 86,"{'CODE 1': 34, 'CODE 2': 46, 'CODE 3': 19}"
Year 87,"{'CODE 1': 87, 'CODE 2': 62, 'CODE 3': 28}"
Year 88,"{'CODE 1': 191, 'CODE 2': 8, 'CODE 3': 25}"
Year 89,"{'CODE 1': 143, 'CODE 2': 57, 'CODE 3': 19}"
Year 90,"{'CODE 1': 66, 'CODE 2': 72, 'CODE 3': 39}"
Year 91,"{'CODE 1': 148, 'CODE 2': 69, 'CODE 3': 34}"
Year 92,"{'CODE 1': 179, 'CODE 2': 90, 'CODE 3': 27}"
Year 93,"{'CODE 1': 151, 'CODE 2': 38, 'CODE 3': 27}"
Year 94,"{'CODE 1': 162, 'CODE 2': 94, 'CODE 3': 42}"
Year 95,"{'CODE 1': 118, 'CODE 2': 84, 'CODE 3': 43}"
Year 96,"{'CODE 1': 151, 'CODE 2': 58, 'CODE 3': 19}"
Year 97,"{'CODE 1': 27, 'CODE 2': 95, 'CODE 3': 26}"
Year 98,"{'CODE 1': 198, 'CODE 2': 54, 'CODE 3': 44}"
Year 99,"{'CODE 1': 195, 'CODE 2': 48, 'CODE 3': 33}"
Year 100,"{'CODE 1': 159, 'CODE 2': 1, 'CODE 3': 10}"
Year 101,"{'CODE 1': 75, 'CODE 2': 16, 'CODE 3': 6}"
Year 102,"{'CODE 1': 166, 'CODE 2': 88, 'CODE 3': 31}"
Year 103,"{'CODE 1': 73, 'CODE 2': 72, 'CODE 3': 51}"
Year 104,"{'CODE 1': 73, 'CODE 2': 3, 'CODE 3': 34}"
Year 105,"{'CODE 1': 164, 'CODE 2': 18, 'CODE 3': 18}"
Year 106,"{'CODE 1': 135, 'CODE 2': 17, 'CODE 3': 33}"
Year 107,"{'CODE 1': 200, 'CODE 2': 47, 'CODE 3': 23}"
Year 108,"{'CODE 1': 140, 'CODE 2': 92, 'CODE 3': 43}"
Year 109,"{'CODE 1': 176, 'CODE 2': 75, 'CODE 3': 51}"
Year 110,"{'CODE 1': 134, 'CODE 2': 45, 'CODE 3': 43}"
Year 111,"{'CODE 1': 7, 'CODE 2': 92, 'CODE 3': 32}"
Year 112,"{'CODE 1': 42, 'CODE 2': 80, 'CODE 3': 5}"
Year 113,"{'CODE 1': 176, 'CODE 2': 54, 'CODE 3': 20}"
Year 114,"{'CODE 1': 199, 'CODE 2': 24, 'CODE 3': 29}"
